Strain,Year,E_ec,E_sc,E_bind
ACN43014,2008,122.01,27.16,149.17
ACN43058,2008,122.38,27.08,149.46
ACN76489,2008,121.57,27.08,148.65
ACO36342,2008,122.25,27.16,149.41
ACO36364,2007,122.18,27.08,149.25
ACO36386,2007,119.89,25.99,145.88
ACQ45616,2005,122.09,24.57,146.66
ACQ65736,2008,122.61,27.08,149.69
ACQ65747,2007,122.17,27.29,149.46
ACT21466,1998,118.08,25.23,143.31
ACT21467,1998,119.1,25.23,144.33
ACT21468,1998,118.12,25.23,143.35
ACT21469,1998,121.65,25.62,147.27
ACT21470,1998,121.65,25.62,147.27
ACT21471,1998,121.65,25.62,147.27
ACT21472,1998,119.88,25.62,145.49
ACT34399,2008,122.74,27.08,149.81
ACT34400,2008,123.88,27.08,150.96
ACT34402,2008,122.39,27.08,149.46
ACT34405,2008,122.21,27.08,149.29
ACT34407,2008,122.99,28.09,151.08
ACT67771,2009,123.33,22.99,146.33
ACT67773,2009,120.15,26.07,146.22
ACT67774,2008,119.63,27.13,146.76
ACT67775,2009,121.86,27.08,148.94
ACT67780,2009,122.16,27.08,149.24
ACT67781,2009,123.52,26.02,149.54
ACT67782,2009,121.5,24.93,146.44
ACT67787,2009,121.74,27.16,148.89
ACT67790,2009,119.63,27.11,146.74
ACT67791,2009,122.08,27.08,149.16
ACT67792,2009,122.08,27.08,149.16
ACT67793,2009,121.34,27.08,148.42
ACT67794,2009,119.79,25.99,145.79
ACT67795,2009,121.41,26.83,148.23
ACT67798,2009,123.52,26.02,149.54
ACT67799,2009,119.63,27.13,146.76
ACT67801,2009,120.76,27.09,147.85
ACT67802,2009,121.86,27.08,148.94
ACT67804,2009,123.5,27.08,150.57
ACT67805,2009,122.72,27.08,149.8
ACT67807,2009,122.08,27.08,149.16
ACT67808,2009,121.97,27.04,149.01
ACT67809,2009,123.4,27.08,150.48
ACT67810,2009,122.93,24.61,147.54
ACT67811,2009,120.69,27.13,147.82
ACT67813,2009,122.08,27.08,149.16
ACT67815,2009,122.12,27.08,149.2
ACT67819,2009,122.09,27.08,149.17
ACU79970,2008,120.85,27.16,148.01
ACU80036,2008,122.04,27.08,149.11
ACU80113,2008,122.25,27.16,149.41
ACU80124,2008,122.26,27.16,149.42
ACU80135,2008,122.26,27.16,149.42
ACU80146,2008,121.93,27.16,149.09
ACU80190,2008,121.93,27.16,149.09
ACU80201,2008,122.08,27.08,149.16
ACU80223,2008,122.13,27.16,149.29
ACU80245,2008,122.92,27.16,150.08
ACU80311,2008,122.25,27.16,149.41
ACU80377,2008,122.13,27.16,149.29
ACU80424,2008,122.13,27.16,149.29
ACU80435,2008,122.13,27.16,149.29
ACU80611,2008,122.13,27.16,149.29
ACU80721,2008,122.16,27.08,149.23
ACU80754,2008,122.08,27.08,149.16
ACU80765,2008,121.93,27.16,149.09
ACU80776,2008,122.08,27.08,149.16
ACU80787,2008,122.08,27.08,149.16
ACV72365,2008,120.78,27.08,147.85
ACV72368,2009,122.41,27.16,149.56
ACV72369,2009,123.57,26.02,149.59
ACV72371,2009,122.08,27.08,149.16
ACV72373,2008,122.03,27.04,149.07
ACV72375,2009,123.52,26.02,149.54
ACZ05161,2009,121.97,25.57,147.54
ACZ05183,2009,123.29,26.02,149.31
ACZ05216,2009,122.1,27.08,149.18
ACZ05238,2009,123.29,26.02,149.31
ACZ05271,2009,122.41,27.08,149.49
ACZ05282,2009,121.05,27.08,148.13
ACZ05337,2009,124.63,26.02,150.65
ACZ05359,2009,123.29,26.02,149.31
ACZ05392,2009,122.89,25.44,148.32
ACZ05414,2009,123.25,27.08,150.32
ACZ05425,2009,123.4,26.02,149.42
ACZ05436,2009,123.4,26.02,149.42
ACZ05480,2009,123.4,26.02,149.42
ACZ05502,2009,122.07,26.12,148.19
ACZ05632,2009,121.97,25.57,147.54
ACZ05972,2009,123.52,26.02,149.54
ACZ05983,2009,123.72,26.02,149.74
ACZ05994,2009,123.51,26.02,149.53
ADB89721,2009,121.84,26.02,147.86
ADB89732,2009,121.23,24.93,146.16
ADD21560,2009,121.1,28.28,149.38
ADE34235,2009,122.28,25.57,147.85
ADE34268,2009,121.95,25.57,147.51
ADI75829,2009,122.13,27.08,149.21
ADI75840,2009,122.09,27.08,149.16
ADI75873,2009,121.98,27.08,149.05
ADI75895,2009,123.47,26.02,149.49
ADJ88782,2009,122.09,27.08,149.16
ADK45410,2009,123.34,27.08,150.42
ADK45421,2009,123.48,26.02,149.5
ADK45432,2009,122.13,27.08,149.21
ADK94191,2009,123.4,25.98,149.38
ADK94202,2009,122.09,27.08,149.16
ADK94235,2009,122.49,26.02,148.51
ADK94246,2009,123.75,26.02,149.77
ADK94257,2009,123.47,26.02,149.49
ADK94312,2009,123.52,26.02,149.54
ADK94323,2009,123.52,26.02,149.54
ADK94345,2009,124.83,26.02,150.85
ADK94476,2009,124.83,26.02,150.85
ADK94498,2009,123.52,26.02,149.54
ADK94509,2009,123.52,26.02,149.54
ADK94520,2009,123.5,27.08,150.58
ADK98656,2009,122.13,27.08,149.21
ADK98678,2009,122.39,27.08,149.47
ADK98722,2009,120.97,27.08,148.05
ADK98755,2009,122.08,27.08,149.16
ADK98766,2009,122.44,27.08,149.52
ADK98810,2009,122.45,27.08,149.53
ADK98821,2009,123.52,26.02,149.54
ADK98854,2009,122.08,27.08,149.16
ADK98865,2009,122.86,27.08,149.93
ADK98876,2009,123.95,26.02,149.97
ADK98909,2009,121.98,27.08,149.05
ADK98920,2009,123.29,26.02,149.31
ADK98953,2009,122.09,27.08,149.16
ADK98986,2009,122.09,27.08,149.16
ADK99008,2009,122.09,27.08,149.16
ADK99019,2009,122.86,27.08,149.94
ADK99030,2009,124.28,26.02,150.3
ADK99041,2009,122.01,27.08,149.08
ADK99074,2009,122.58,27.08,149.65
ADK99118,2009,123.35,26.02,149.37
ADK99129,2009,123.45,26.02,149.47
ADK99151,2009,124.03,26.02,150.05
ADK99173,2009,122.08,27.08,149.16
ADK99184,2009,122.58,27.08,149.65
ADK99206,2009,123.4,25.98,149.38
ADK99250,2009,122.08,27.08,149.16
ADK99272,2009,123.5,27.08,150.57
ADK99283,2009,123.52,26.02,149.54
ADK99294,2009,121.27,26.12,147.39
ADL28000,2009,122.57,26.02,148.59
ADL28011,2009,122.86,27.08,149.94
ADL28055,2009,122.08,27.08,149.16
ADL28110,2009,123.26,26.02,149.28
ADL28126,2009,122.34,27.58,149.92
ADL28137,2009,121.95,27.08,149.03
ADL28159,2009,122.08,27.08,149.16
ADL28203,2009,122.58,27.08,149.65
ADL28214,2009,122.07,26.12,148.19
ADL28225,2009,122.44,27.08,149.52
ADL28236,2009,123.47,26.02,149.49
ADL39181,2009,123.5,27.08,150.57
ADL39203,2009,123.52,26.02,149.54
ADL39346,2009,122.09,27.08,149.16
ADL39357,2009,123.15,27.08,150.22
ADL39401,2009,123.15,27.08,150.22
ADL39412,2009,121.77,27.08,148.84
ADL39434,2009,121.05,27.13,148.18
ADM26806,2009,122.45,27.08,149.53
ADM53354,2009,122.08,27.08,149.16
ADM86429,2009,122.65,26.12,148.76
ADV76579,2009,123.5,27.08,150.57
ADV76631,2009,123.67,26.02,149.69
ADW23115,2009,122.44,27.16,149.6
ADY11825,2009,123.02,26.12,149.14
ADY17665,2009,121.97,25.57,147.54
ADY17687,2009,121.97,25.57,147.54
AEB71980,2009,122.08,27.08,149.16
AEG64856,1999,122.66,24.41,147.07
AEG64867,1999,122.68,24.36,147.03
AEG64878,1999,122.68,24.36,147.03
AEG64889,2000,122.69,24.36,147.04
AEG64911,2003,123.26,24.27,147.53
AEG64944,2003,123.26,24.27,147.53
AEG64977,2004,122.95,24.27,147.21
AEG64988,2005,123.54,27.08,150.62
AEG64999,2005,122.13,24.57,146.7
AEG65021,2005,122.03,24.57,146.6
AEG65032,2005,123.98,27.08,151.05
AEG65065,2006,123.67,27.08,150.75
AEG65076,2006,125.39,27.08,152.47
AEG65087,2006,125.14,27.08,152.21
AEG65098,2006,123.48,27.16,150.64
AEG65109,2006,124.28,27.08,151.36
AEG65120,2006,123.54,27.08,150.62
AEG65131,2006,124.03,27.16,151.19
AEG65164,2002,120.27,24.41,144.68
AEG65175,2004,121.4,24.27,145.67
AEG65197,2005,122.03,24.57,146.6
AEG65252,2003,122.87,25.79,148.66
AEG65318,2003,123.46,25.79,149.26
AEG65604,2005,120.35,24.57,144.92
AEG65703,2005,123.98,27.08,151.05
AEG65714,2005,123.98,27.08,151.05
AEG65747,2005,123.74,27.08,150.82
AEI54369,2005,122.22,24.36,146.58
AEI54402,2007,122.61,27.08,149.68
AEI59979,2009,121.98,27.08,149.05
AEI60012,2009,120.28,27.08,147.36
AEI60034,2009,123.44,26.12,149.55
AEI60045,2009,123.44,25.75,149.18
